   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.36251,             0.27745,             0.25972,             0.10375,            0.069361,            0.023915,            0.029371,             0.01033,                0.01,             0.93458,             0.00039,              3.2213,             0.73082,             0.11149,             0.05728,             0.56779,             0.75201,             0.96264,             0.85679,                 0.2,              4.6337,                   0,             0.01387,             0.69836,             0.54803,                   0,             0.10209,             0.43773,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.42503,             0.26126,             0.25821,             0.10154,            0.070298,             0.02074,            0.030188,             0.00979,                0.01,             0.93975,              0.0005,              3.8593,             0.75858,              0.1213,             0.05758,              0.5469,             0.75201,             0.77695,             0.91138,                 0.2,              5.0624,                   0,             0.01182,             0.63236,             0.55807,                   0,             0.10058,             0.45733,                   0,                   0,                   0,                 0.5,             0.93244,                   0,                   0,                   3
             0.34763,             0.29412,             0.23118,            0.087805,            0.069416,            0.018915,            0.030141,             0.01004,             0.01056,                0.98,             0.00041,              3.0663,             0.72277,             0.10488,             0.05753,             0.56779,             0.76665,             0.88901,             0.73872,                 0.2,              5.0624,                   0,             0.01359,              0.7006,             0.56349,                   0,             0.10978,             0.45112,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6896
             0.41048,             0.30884,              0.2683,            0.097911,            0.078218,            0.030593,             0.02945,             0.00907,                0.01,             0.94564,             0.00039,              3.5593,             0.78698,              0.0944,             0.06227,             0.56779,             0.81476,              1.0692,             0.94382,                 0.2,              5.4801,                   0,             0.01469,             0.61675,             0.53633,                   0,              0.1124,             0.38596,                   0,                   0,                   0,                 0.5,             0.98576,                   0,                   0,              3.2637
             0.35113,             0.29101,             0.24824,            0.095051,            0.069905,            0.019165,            0.029089,             0.01004,                0.01,             0.93365,             0.00034,              3.5255,             0.60087,             0.10049,             0.05758,                0.55,             0.79493,              0.8728,               0.687,                 0.2,              5.0624,                   0,             0.01359,             0.70566,             0.54803,                   0,             0.10058,             0.42275,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.47473,             0.22888,             0.26254,              0.1015,            0.070872,            0.019311,            0.032424,             0.01154,             0.01024,             0.93753,             0.00036,               3.786,             0.72277,             0.10049,             0.05696,             0.60496,             0.81884,             0.88676,             0.73248,                 0.2,              5.0205,                   0,              0.0152,             0.80411,             0.56092,                   0,             0.10981,              0.4397,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.4428
             0.35759,             0.32995,             0.25074,             0.10207,            0.074424,            0.024403,            0.021944,             0.00921,             0.01061,             0.91358,             0.00042,               3.691,             0.61259,             0.10049,             0.06099,             0.47529,             0.72571,             0.98208,             0.85368,                 0.2,              4.8755,                   0,             0.01319,             0.71655,              0.5741,                   0,              0.1065,             0.44311,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0633
             0.43516,             0.26231,             0.24399,            0.087539,            0.089625,            0.022093,            0.032773,             0.00954,             0.01078,             0.96955,             0.00041,              3.2451,             0.91048,             0.09495,             0.07344,             0.61764,             0.65418,              1.0447,             0.71977,                 0.2,              5.0624,                   0,             0.01359,             0.65755,             0.51619,                   0,             0.10058,             0.36106,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.2851
             0.43131,             0.27899,                0.24,            0.095079,            0.069975,            0.024582,            0.032934,             0.00998,             0.01007,             0.95097,             0.00041,              3.3136,             0.72277,              0.1023,             0.05758,             0.57189,              0.7772,              1.0037,             0.82854,                 0.2,              5.0624,                   0,             0.01339,             0.68716,             0.55344,                   0,             0.10426,             0.41755,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.37217,             0.31024,             0.26174,             0.10034,            0.056765,            0.025795,            0.026135,             0.01017,                0.01,             0.90697,              0.0004,              3.8692,             0.72277,             0.10452,             0.04501,             0.56085,             0.75201,              1.0032,             0.86001,                 0.2,              4.9132,                   0,             0.01313,             0.70597,             0.54803,                   0,             0.09882,             0.38418,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9419
             0.48474,             0.25599,             0.26614,             0.11107,            0.069115,            0.025867,            0.026738,             0.00995,                0.01,             0.93839,             0.00041,              3.3112,             0.72364,             0.10031,             0.05769,             0.56772,             0.75201,              1.0032,             0.87425,                 0.2,              5.0903,                   0,             0.01367,             0.70601,             0.54288,                   0,             0.10033,             0.42448,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0235
